objectid,contour,st_lengthshape
1,1500,26.3242298730077
2,4000,4476.62165025314
3,9500,2518.82242174297
4,9000,4652.33510341129
5,8500,6942.29038778305
6,8000,9309.89630409904
7,7500,11742.296279441
8,7000,14269.6473643079
9,6500,16961.0577193225
10,6000,19993.0311676834
11,5500,23782.0623731025
12,5000,29578.6091394762
13,4500,37596.3245670538
14,4000,46902.9094748709
15,3500,72096.982087098
16,3000,79135.1870288972
17,500,17373.9886502711
18,1000,5537.58889223143
19,2500,88177.3219020501
20,2000,84707.1330883034
21,1500,91232.5606098208
22,750,37820.7467898204
23,1000,45595.0185440756
24,1000,8206.63663844178
25,1000,4216.31148300147
26,1500,1702.4736538718
27,750,3246.74964802787
28,7000,1222.38835145133
29,2000,286.515264182741
30,6500,5011.26993910317
31,1500,6835.40590425718
32,6000,10254.5072711855
33,1500,19648.3594480029
34,5500,23913.3247810528
35,1500,2793.26484144397
36,5000,30650.4882875402
37,4500,37643.3924294651
38,1000,2334.65612752137
39,4000,45173.3682585543
40,3500,54218.0603370117
41,1000,59947.3978504423
42,3000,69374.7863771769
43,3500,6401.44448665835
44,3000,14119.6370325544
45,2500,93497.557714407
46,2000,101261.740576011
47,1500,92055.3595101159
48,1000,76616.4631292681
49,750,7571.10104000927
50,750,68685.9234874364
51,1000,3426.37097407491
52,2000,7682.43168206412
53,1500,7064.06429412666
54,4000,4023.50583285634
55,3500,18672.0307932842
56,3000,29996.0859876428
57,2500,45151.1269303181
58,2000,36594.1342101766
59,1500,30234.5535040738
60,1000,28818.7444546137
61,750,31458.1823696393
62,500,59379.9118059358
63,1000,2008.42343787493
64,750,6.16370625241383
65,750,1385.98209833404
66,9000,766.640633547521
67,8500,2226.58533248283
68,8000,3866.43187950285
69,7500,5725.89752273749
70,7000,7728.1897696776
71,6500,9839.96805862599
72,6000,12061.1187120279
73,5500,14443.5271013571
74,3000,68.7063509854255
75,5000,17036.3424634593
76,4500,19872.382793655
77,4000,23040.1280307341
78,3500,26860.5824567937
79,2500,90.6870913118267
80,3000,2928.37179508933
81,3000,33414.8457110093
82,2500,40576.9417040465
83,4000,126.219299652508
84,2000,48114.4727077248
85,6500,1481.76332564203
86,6000,9140.50906542428
87,1500,55319.2448852796
88,1000,54904.3151858963
89,750,19121.236782511
90,750,45285.3060367025
91,500,40329.4047796206
92,500,57137.9300392665
93,10000,5510.73795181352
94,9500,11157.268186953
95,9000,15708.3713064346
96,8500,20233.3178282782
97,8000,23823.9117073077
98,7500,27210.6012273969
99,7000,30616.0122115719
100,6500,34292.2446236338
101,6000,38929.3575855683
102,5500,61103.9940170779
103,5000,63870.2232939752
104,2000,13996.9886825503
105,4500,67534.538938432
106,4000,70605.9611712359
107,3500,73210.31146521
108,3000,71266.6817833069
109,2500,67267.507971448
110,2000,54242.3831095517
111,1500,54476.4830841938
112,1000,53427.5885243408
113,750,67955.7428396424
114,500,63081.830681189
115,500,8614.35509175706
116,4000,10700.0666899671
117,3500,31109.7313809513
118,2000,20075.0942811923
119,3000,40917.6348297081
120,2500,53490.4102822448
121,250,9611.38067366164
122,2500,13803.753964949
123,5000,6495.02407130216
124,250,21288.5119525889
125,3500,9971.43835014396
126,7500,6167.64402930593
127,3500,78.6694324670002
128,250,16058.0797760014
129,7000,22917.1942201095
130,6500,39528.3000582479
131,500,66431.9031120018
132,1500,7746.72778926414
133,500,100760.667329647
134,500,46774.3632336542
135,6000,99748.8875075237
136,250,10363.5964790293
137,5500,108411.100173601
138,2500,13839.951591198
139,750,5935.86414297115
140,5000,128310.328331315
141,2000,26.499509488158
142,500,54090.8116876461
143,4500,151637.144243631
144,1500,50180.7665208171
145,1500,6109.4510790188
146,750,2228.81158561353
147,750,242368.712233679
148,4000,163855.827927602
149,3500,139907.04898138
150,3000,130721.450532332
151,2500,124837.42148946
152,2000,178402.009985251
153,2000,21282.1724936563
154,1000,42.934392673796
155,3000,6357.02581534456
156,1000,145938.568952524
157,2500,45169.6344432143
158,2000,81229.278485414
159,1500,259142.418701921
160,1000,238949.544989477
161,750,61381.7928018292
